name,x,y,z
Walzerstadt Pension,-19.7522342911,30.0938032762,-12.4843623883
Westbahn Wien,-93.1369312557,123.203440555,-8.07266303409
Wiener Kindl,-64.1200431532,-33.5683931132,102.564206679
Zipser,37.1066970428,-53.1861394324,-141.305551901
Zur Wiener Staatsoper,131.806681989,-216.301146162,-140.251949244
ibis Styles Wien City,84.3867628247,-37.8650464857,-3.74186597031
ibis Wien City,44.4969209311,-14.8064470007,-5.30110254768
ibis Wien Mariahilf,47.3938025245,-35.8186279789,-3.73929051855
ibis Wien Messe,136.896280325,9.80570029811,2.57033455333
ibis budget Wien Messe,-73.3883088492,71.0007520753,108.304383992
in der Fabrik Wien,-57.0395019728,-54.6109439128,-104.587270219
motel22,20.987767374,-8.49846847408,50.4353688204
